Subject,PASS,,,
081030_NC89WB,TRUE,,,
081101_HG45HB,TRUE,,,
081101_XC45YB,TRUE,,,
081104_CK37CB,TRUE,,,
081108_CH36DK,TRUE,,,
081108_KY89TK,TRUE,,,
081115_FM95TK,TRUE,,,
081115_JH43QK,TRUE,,,
081115_VF58TB,TRUE,,,
081118_AY63CB,TRUE,,,
081118_EK52XB,TRUE,,,
081118_RF83XB,TRUE,,,
081121_RK89NK,TRUE,,,
081121_TG33QB,TRUE,,,
081122_HP38DB,TRUE,,,
081122_MZ77VK,TRUE,,,
081122_PX56VB,TRUE,,,
081125_SQ28TK,TRUE,,,
081129_RK87JK,TRUE,,,
081202_UC93MK,TRUE,,,
081202_US23QB,TRUE,,,
081202_XZ77XK,TRUE,,,
081213_HT32EB,TRUE,,,
081213_MQ68JB,TRUE,,,
081213_MR32XB,TRUE,,,
081213_NK66TK,TRUE,,,
081216_NN63XK,TRUE,,,
081216_NR28PK,TRUE,,,
081216_RR36KB,TRUE,,,
081216_VY37FB,TRUE,,,
081220_JS29GB,TRUE,,,
081220_PJ82PK,TRUE,,,
081220_VW86TK,TRUE,,,
090106_PM46WK,TRUE,,,
090106_WJ52FK,TRUE,,,
090106_YP53JB,TRUE,,,
090110_FZ45CK,TRUE,,,
090110_MG55BK,TRUE,,,
090110_RS88CK,TRUE,,,
090113_WZ87JB,TRUE,,,
090117_ER76FK,TRUE,,,
090117_KN26UB,TRUE,,,
090117_XF93NK,TRUE,,,
090119_MM58XK,TRUE,,,
090120_CV34VB,TRUE,,,
090120_GS93ZB,TRUE,,,
090120_MJ47WK,TRUE,,,
090121_KZ86JK,TRUE,,,
090122_GQ43TK,TRUE,,,
090124_FE88KB,TRUE,,,
090127_DZ57BB,TRUE,,,
090127_QC87KK,TRUE,,,
090128_HN36DK,TRUE,,,
090128_HW95JK,TRUE,,,
090128_KR88BB,TRUE,,,
090131_BD54CK,TRUE,,,
090131_GY94BB,TRUE,,,
090131_NM93WB,TRUE,,,
090131_QP96UK,TRUE,,,
090201_YF96RB,TRUE,,,
090204_JG47PK,TRUE,,,
090207_BJ47EB,TRUE,,,
090207_WV34VK,TRUE,,,
090207_XP75BB,TRUE,,,
090207_ZG54XB,TRUE,,,
090210_CF43BK,TRUE,,,
090211_HR89FK,TRUE,,,
090211_SZ63GK,TRUE,,,
090214_CA84XB,TRUE,,,
090214_HS87KB,TRUE,,,
090214_NN86RB,TRUE,,,
090214_TE76SB,TRUE,,,
090214_VQ69QK,TRUE,,,
090216_XK24MB,TRUE,,,
090216_XP68VB,TRUE,,,
090218_TW84WK,TRUE,,,
090221_XQ67GB,TRUE,,,
090224_QE54CK,TRUE,,,
090225_WP46YK,TRUE,,,
090226_QR36KK,TRUE,,,
090227_VW83RK,TRUE,,,
090302_BX75NB,TRUE,,,
090302_XP39SK,TRUE,,,
090303_FD77JK,TRUE,,,
090304_NC99VB,TRUE,,,
090305_ZC33CB,TRUE,,,
090307_NT82KB,TRUE,,,
090307_TK36VK,TRUE,,,
090310_BV32QK,TRUE,,,
090310_MC47GB,TRUE,,,
090311_SR56QB,TRUE,,,
090314_CR35BB,TRUE,,,
090314_VN49EK,TRUE,,,
090316_SM56RK,TRUE,,,
090317_NQ74PB,TRUE,,,
090317_YQ55DB,TRUE,,,
090318_MD74MB,TRUE,,,
090321_CE85DB,TRUE,,,
090321_DT74ZK,TRUE,,,
090321_EG36WK,TRUE,,,
090324_KE47MK,TRUE,,,
090325_BG97NB,TRUE,,,
090326_VG65GK,TRUE,,,
090327_PK44JK,TRUE,,,
090328_CX62YK,TRUE,,,
090328_EG97BK,TRUE,,,
090328_EX53FK,TRUE,,,
090328_GW85MK,TRUE,,,
090328_RE87GK,TRUE,,,
090328_XF45WB,TRUE,,,
090328_ZJ73UK,TRUE,,,
090330_BE85YB,TRUE,,,
090330_KB34AK,TRUE,,,
090330_TB87BB,TRUE,,,
090401_YV74BB,TRUE,,,
090404_SM64DB,TRUE,,,
090407_SB29SK,TRUE,,,
090409_SH74YK,TRUE,,,
090409_SQ96JK,TRUE,,,
090413_BB88TK,TRUE,,,
090413_PG76BK,TRUE,,,
090414_DG28HB,TRUE,,,
090414_RX85UB,TRUE,,,
090414_WU77YK,TRUE,,,
090414_WZ32UK,TRUE,,,
090415_DD88GK,TRUE,,,
090421_JW83CB,TRUE,,,
090425_FY89SB,TRUE,,,
090425_GD97HB,TRUE,,,
090425_GS44MB,TRUE,,,
090425_GY88NB,TRUE,,,
090425_JB27PB,TRUE,,,
090425_VC67KB,TRUE,,,
090427_DW86AB,TRUE,,,
090427_NY83QK,TRUE,,,
090427_VQ28GK,TRUE,,,
090428_CG88YB,TRUE,,,
090502_PY72CB,TRUE,,,
090507_EJ34KK,TRUE,,,
090508_KS68SK,TRUE,,,
090512_TU56FK,TRUE,,,
090514_EW84NH,TRUE,,,
090514_HW24BB,TRUE,,,
090515_MH67YH,TRUE,,,
090515_MT47EH,TRUE,,,
090515_UU68FH,TRUE,,,
090516_CZ49PK,TRUE,,,
090516_KH88MK,TRUE,,,
090519_AA89HU,TRUE,,,
090519_BS33KK,TRUE,,,
090519_RK47TB,TRUE,,,
090519_SG43HK,TRUE,,,
090519_SY38FB,TRUE,,,
090521_FJ28ZH,TRUE,,,
090523_CB36WB,TRUE,,,
090524_FM38MB,TRUE,,,
090527_AR25MB,TRUE,,,
090527_JT28FB,TRUE,,,
090527_SP37DK,TRUE,,,
090529_BC63AU,TRUE,,,
090529_PE68YB,TRUE,,,
090530_BD98XB,TRUE,,,
090530_GT85SK,TRUE,,,
090602_FM72FK,TRUE,,,
090604_QY33HK,TRUE,,,
090606_MK27GB,TRUE,,,
090606_XY96QK,TRUE,,,
090608_RU48SH,TRUE,,,
090609_KG63VB,TRUE,,,
090610_KD47QK,TRUE,,,
090610_UJ57MB,TRUE,,,
090611_RK74KK,TRUE,,,
090612_SR78XK,TRUE,,,
090613_FR28UB,TRUE,,,
090616_KZ69KH,TRUE,,,
090616_ME56WB,TRUE,,,
090616_UD83BH,TRUE,,,
090618_DC53QK,TRUE,,,
090618_KC84FH,TRUE,,,
090618_MY83QK,TRUE,,,
090618_WJ66MH,TRUE,,,
090618_XM97XH,TRUE,,,
090619_PY43TH,TRUE,,,
090620_EV73TK,TRUE,,,
090620_FT35NB,TRUE,,,
090620_TT66JB,TRUE,,,
090622_DN86WH,TRUE,,,
090622_EB46ZB,TRUE,,,
090622_FP98JB,TRUE,,,
090622_KA48JH,TRUE,,,
090622_QQ53ZB,TRUE,,,
090622_UW63RK,TRUE,,,
090622_XB79DB,TRUE,,,
090623_BM84DH,TRUE,,,
090623_CB73WU,TRUE,,,
090625_PY99GK,TRUE,,,
090629_EB88QH,TRUE,,,
090629_HE63VH,TRUE,,,
090629_HQ36UH,TRUE,,,
090630_RJ83WH,TRUE,,,
090630_RX83QK,TRUE,,,
090630_YY55UH,TRUE,,,
090701_DQ62WU,TRUE,,,
090701_WY73XH,TRUE,,,
090702_DQ45CH,TRUE,,,
090702_EB53KU,TRUE,,,
090702_HX45XU,TRUE,,,
090702_JX37AU,TRUE,,,
090702_RM88SH,TRUE,,,
090702_SB46AB,TRUE,,,
090702_UW23TH,TRUE,,,
090703_NS34JU,TRUE,,,
090706_DE54EH,TRUE,,,
090706_EE52KU,TRUE,,,
090706_JW54JH,TRUE,,,
090707_MA98RK,TRUE,,,
090707_PV66TH,TRUE,,,
090708_BJ38PU,TRUE,,,
090708_NZ36PU,TRUE,,,
090709_DT42TU,TRUE,,,
090709_JS34XH,TRUE,,,
090709_TD46WH,TRUE,,,
090709_UP72PU,TRUE,,,
090710_GQ73DK,TRUE,,,
090710_NK38TU,TRUE,,,
090711_GM54UB,TRUE,,,
090711_HH58DK,TRUE,,,
090711_WU83XB,TRUE,,,
090711_WZ45VK,TRUE,,,
090714_NV88PB,TRUE,,,
090714_WQ64TK,FALSE,,,
090716_DJ35KK,TRUE,,,
090716_FQ57UU,TRUE,,,
090716_JP27HU,TRUE,,,
090716_QS89WH,TRUE,,,
090716_RK56EB,TRUE,,,
090716_TT83FB,TRUE,,,
090716_TV86QU,TRUE,,,
090716_VE66YB,TRUE,,,
090716_WB59WH,TRUE,,,
090717_CG66MK,TRUE,,,
090717_XY79MH,TRUE,,,
090718_FJ45CK,TRUE,,,
090718_RS57BK,TRUE,,,
090720_BN53PU,TRUE,,,
090720_QJ63GK,TRUE,,,
090720_UT93XH,TRUE,,,
090721_ZR99UK,TRUE,,,
090722_JX68DB,TRUE,,,
090722_KC42JU,TRUE,,,
090723_MN72RH,TRUE,,,
090723_YR36WU,TRUE,,,
090724_ZN86HH,TRUE,,,
090725_PM95TK,TRUE,,,
090725_TV39JB,TRUE,,,
090726_PC78CK,TRUE,,,
090727_DQ77KH,TRUE,,,
090727_GF75XU,TRUE,,,
090730_WB95YU,TRUE,,,
090731_DQ57HH,TRUE,,,
090731_NN64RH,TRUE,,,
090801_DE43PB,TRUE,,,
090801_KN43WB,TRUE,,,
090803_UW85VH,TRUE,,,
090804_GX38EU,TRUE,,,
090804_JP86DH,TRUE,,,
090804_WQ26NU,TRUE,,,
090805_UU53EB,TRUE,,,
090805_VG34XU,TRUE,,,
090805_YF49FH,TRUE,,,
090806_AW59AB,TRUE,,,
090806_MX73TH,TRUE,,,
090806_SV66SU,TRUE,,,
090806_TH45NU,TRUE,,,
090806_XC65YH,TRUE,,,
090806_YF83JU,TRUE,,,
090806_ZB57PU,TRUE,,,
090807_HC39QU,TRUE,,,
090807_PN44PU,TRUE,,,
090808_KH58WB,TRUE,,,
090810_JF45TU,TRUE,,,
090810_UF35AU,TRUE,,,
090810_VK73HU,TRUE,,,
090811_CX52PK,TRUE,,,
090812_BA52TU,TRUE,,,
090812_CX43SB,TRUE,,,
090812_RY46XK,TRUE,,,
090813_FQ78NU,TRUE,,,
090813_VU95BB,TRUE,,,
090813_WB65MU,TRUE,,,
090814_UG68PH,TRUE,,,
090815_EN97BB,TRUE,,,
090815_YY38CB,TRUE,,,
090816_QM94TK,TRUE,,,
090817_GU35RH,TRUE,,,
090818_DH86KH,TRUE,,,
090818_HX87NH,TRUE,,,
090819_AA57QU,TRUE,,,
090819_KQ66WB,TRUE,,,
090819_VN54WB,TRUE,,,
090820_DD66JU,TRUE,,,
090820_DJ78JU,TRUE,,,
090820_PM99PH,TRUE,,,
090820_QQ92UH,TRUE,,,
090820_UK36VU,TRUE,,,
090820_XK47PU,TRUE,,,
090821_FB88JU,TRUE,,,
090822_FT35QB,TRUE,,,
090822_KZ84YB,TRUE,,,
090822_UF93QK,TRUE,,,
090822_US66UK,TRUE,,,
090825_KH33HB,TRUE,,,
090825_NV54JB,TRUE,,,
090826_HJ59TH,TRUE,,,
090826_JA67RU,TRUE,,,
090827_AW53JU,TRUE,,,
090827_RX62SH,TRUE,,,
090827_UT32PK,TRUE,,,
090827_YF76KK,TRUE,,,
090828_DT76QH,TRUE,,,
090829_UN24AK,TRUE,,,
090831_DM43YU,TRUE,,,
090831_PU77JB,TRUE,,,
090831_SJ35AH,TRUE,,,
090831_WQ82YH,TRUE,,,
090902_TY34QU,TRUE,,,
090903_DC53TH,TRUE,,,
090903_DX33CU,TRUE,,,
090903_EX59KH,TRUE,,,
090903_JR73SB,TRUE,,,
090903_JU89DH,TRUE,,,
090903_RG83SH,TRUE,,,
090903_SX77FK,TRUE,,,
090904_ZW84BK,TRUE,,,
090909_QC52GH,TRUE,,,
090910_PF28GH,TRUE,,,
090910_PX67GH,TRUE,,,
090910_QQ78RH,TRUE,,,
090911_WY86XB,TRUE,,,
090913_RG34NU,TRUE,,,
090913_XN49VH,TRUE,,,
090913_YR86DH,TRUE,,,
090914_DD36GB,TRUE,,,
090914_DJ48AU,TRUE,,,
090914_NW95MB,TRUE,,,
090914_SY46KU,TRUE,,,
090914_WJ88NK,TRUE,,,
090916_ZW76CH,TRUE,,,
090917_AY84PK,TRUE,,,
090917_FX75XU,TRUE,,,
090917_KW73FH,TRUE,,,
090917_NK65CH,TRUE,,,
090917_ST73FB,TRUE,,,
090917_UF46WH,TRUE,,,
090918_HU97VK,TRUE,,,
090920_CW55XH,TRUE,,,
090920_CW73NU,TRUE,,,
090920_MR79NH,TRUE,,,
090920_SK27CH,TRUE,,,
090920_VQ64JH,TRUE,,,
090920_XV47PU,TRUE,,,
090922_FZ57YU,TRUE,,,
090922_HU52SU,TRUE,,,
090922_ND38XU,TRUE,,,
090922_RU52BH,TRUE,,,
090922_TJ54HH,TRUE,,,
090922_UP25SH,TRUE,,,
090923_BG39ZH,TRUE,,,
090923_PH66XU,TRUE,,,
090923_SM23YH,TRUE,,,
090924_EF73UB,TRUE,,,
090924_JK78VH,TRUE,,,
090924_QC83ZU,TRUE,,,
090924_TA83SB,TRUE,,,
090925_UM77KB,TRUE,,,
090927_MQ45BH,TRUE,,,
090927_SV78UU,TRUE,,,
090927_ZG66WU,TRUE,,,
090928_GR74KU,TRUE,,,
090929_DF24NH,TRUE,,,
090929_KP65AB,TRUE,,,
090929_XQ38CH,TRUE,,,
090930_KX74PB,TRUE,,,
091001_GH33DH,TRUE,,,
091001_WS57TU,TRUE,,,
091001_WV45CU,TRUE,,,
091001_WX35YB,TRUE,,,
091001_ZH42HK,TRUE,,,
091002_FQ85AB,TRUE,,,
091004_AQ34XU,TRUE,,,
091004_FE87NU,TRUE,,,
091004_HZ55QH,TRUE,,,
091004_PH35RH,TRUE,,,
091004_WJ72CH,TRUE,,,
091006_BN54KB,TRUE,,,
091006_GS69SU,TRUE,,,
091006_PA58XH,TRUE,,,
091006_YN89DU,TRUE,,,
091007_GY35RU,TRUE,,,
091007_ZE64JH,TRUE,,,
091008_QY58ZK,TRUE,,,
091008_TC52MH,TRUE,,,
091009_QH36QK,TRUE,,,
091013_DB47HU,TRUE,,,
091013_DC77AH,TRUE,,,
091013_HM98YH,TRUE,,,
091013_MJ95PU,TRUE,,,
091013_WF34CU,TRUE,,,
091013_YM36RH,TRUE,,,
091014_GN37EU,TRUE,,,
091014_NR53FU,TRUE,,,
091014_WE77QH,TRUE,,,
091015_CF78VB,TRUE,,,
091015_PY46NK,TRUE,,,
091015_XS43QB,TRUE,,,
091018_BD48XU,TRUE,,,
091018_CT88HU,TRUE,,,
091018_XT83SU,TRUE,,,
091018_YB85HH,TRUE,,,
091018_YT23JU,TRUE,,,
091018_ZT96ZU,TRUE,,,
091019_BX75BB,TRUE,,,
091019_RK95QK,TRUE,,,
091020_DB56XU,TRUE,,,
091020_MQ53WH,TRUE,,,
091020_VE88WU,TRUE,,,
091022_BB27QH,TRUE,,,
091022_CW38VH,TRUE,,,
091022_TV33AU,TRUE,,,
091023_NJ93ZK,TRUE,,,
091023_RX33WB,TRUE,,,
091025_CF84TH,TRUE,,,
091025_JX82VU,TRUE,,,
091025_PU23BH,TRUE,,,
091025_VQ44MH,TRUE,,,
091026_UT26UU,TRUE,,,
091027_EE55SU,TRUE,,,
091027_GT33HH,TRUE,,,
091027_JU76VU,TRUE,,,
091027_KC46TH,TRUE,,,
091027_RX76FH,TRUE,,,
091027_SS95WH,TRUE,,,
091027_YQ86KU,TRUE,,,
091028_AB39FH,TRUE,,,
091028_WV43VU,TRUE,,,
091029_FK48AH,TRUE,,,
091029_JH55UH,TRUE,,,
091029_SG66CH,TRUE,,,
091029_WZ62VK,TRUE,,,
091103_EV23GH,TRUE,,,
091103_MP48TB,TRUE,,,
091103_PB33FU,TRUE,,,
091105_FA85ZU,TRUE,,,
091105_RK42DB,TRUE,,,
091105_TJ57EK,TRUE,,,
091105_WB45UH,TRUE,,,
091105_YN25QK,TRUE,,,
091106_JV55NB,TRUE,,,
091106_WY37RK,TRUE,,,
091107_BB57EK,TRUE,,,
091107_GB86CH,TRUE,,,
091107_GV48GB,TRUE,,,
091107_HG69JH,TRUE,,,
091107_TF66MB,TRUE,,,
091107_UU55XU,TRUE,,,
091107_XV58PH,TRUE,,,
091109_BX68XU,TRUE,,,
091110_HW38GH,TRUE,,,
091110_PV74ZK,TRUE,,,
091110_RQ82YH,TRUE,,,
091111_DH33ZB,TRUE,,,
091112_CS59AB,TRUE,,,
091112_EJ49VH,TRUE,,,
091112_MV73MU,TRUE,,,
091112_TQ43TU,TRUE,,,
091115_RS68TH,TRUE,,,
091115_RU58ZH,TRUE,,,
091115_VE64KH,TRUE,,,
091117_BZ38BU,TRUE,,,
091117_FW62PU,TRUE,,,
091117_QZ37QH,TRUE,,,
091117_VG46SU,TRUE,,,
091117_VK68WB,TRUE,,,
091117_YS49XH,TRUE,,,
091118_QW58HU,TRUE,,,
091119_GA43AU,TRUE,,,
091119_MG36NH,TRUE,,,
091119_RM92ZB,TRUE,,,
091119_RV36QB,TRUE,,,
091119_XD34FK,TRUE,,,
091120_HF65FB,TRUE,,,
091120_PX55WB,TRUE,,,
091122_BS66DH,TRUE,,,
091122_EA96ZH,TRUE,,,
091122_JX56CH,TRUE,,,
091122_ZV57RH,TRUE,,,
091123_GQ68EU,TRUE,,,
091123_XV87XU,TRUE,,,
091124_ED55DH,TRUE,,,
091124_FN28PK,TRUE,,,
091124_NF53VU,TRUE,,,
091124_PM48FK,TRUE,,,
091124_SC56RH,TRUE,,,
091124_WJ44SU,TRUE,,,
091125_ZW88CB,TRUE,,,
091201_KC82WH,TRUE,,,
091201_VC24PH,TRUE,,,
091201_YM76DH,TRUE,,,
091202_DV47FB,TRUE,,,
091202_KK86SU,TRUE,,,
091203_BW42VK,TRUE,,,
091203_MJ77RH,TRUE,,,
091203_MS39DU,TRUE,,,
091205_AX69BH,TRUE,,,
091205_BB33PU,TRUE,,,
091205_GQ87RH,TRUE,,,
091205_NJ69KU,TRUE,,,
091205_PP67GU,TRUE,,,
091205_WR84MH,TRUE,,,
091206_DX67FU,TRUE,,,
091206_EF68NU,TRUE,,,
091206_KC45YU,TRUE,,,
091207_TN73MB,TRUE,,,
091208_BF85VH,TRUE,,,
091208_CW37SH,TRUE,,,
091208_GM47PU,TRUE,,,
091208_KX48NU,TRUE,,,
091208_TR25KB,TRUE,,,
091209_HU66TB,TRUE,,,
091210_PR97RH,TRUE,,,
091210_RM56WU,TRUE,,,
091210_XX86AB,TRUE,,,
091215_KM39VH,TRUE,,,
091215_MJ32VU,TRUE,,,
091215_WM74WH,TRUE,,,
091215_XX88CK,TRUE,,,
091216_ZX37WK,TRUE,,,
091217_CC83PK,TRUE,,,
091217_DE57DK,TRUE,,,
091217_XX82BK,TRUE,,,
091217_YT75JU,TRUE,,,
091218_FD65JK,TRUE,,,
091218_SQ43VK,TRUE,,,
091221_BH73FU,TRUE,,,
091221_GZ65QK,TRUE,,,
091222_BY88QU,TRUE,,,
091222_EV77WH,TRUE,,,
091222_UH45WH,TRUE,,,
100107_GA76XB,TRUE,,,
100107_HF73TB,TRUE,,,
100107_ZZ55XB,TRUE,,,
100110_HU67UU,TRUE,,,
100110_WY34BH,TRUE,,,
100112_BR85MU,TRUE,,,
100112_JF24KH,TRUE,,,
100112_NK25EU,TRUE,,,
100112_WK35HH,TRUE,,,
100113_BS53EB,TRUE,,,
100114_HP88KB,TRUE,,,
100114_NF69GU,TRUE,,,
100115_HR82ZB,TRUE,,,
100119_QW34SU,TRUE,,,
100119_RH38CH,TRUE,,,
100119_VN66ZH,TRUE,,,
100120_DQ57PH,TRUE,,,
100120_UN32HH,TRUE,,,
100121_AA97MB,TRUE,,,
100121_GF37CB,TRUE,,,
100121_ST38AU,TRUE,,,
100121_YW66DU,TRUE,,,
100122_TY62MB,TRUE,,,
100123_DC27DU,TRUE,,,
100123_NN78WU,TRUE,,,
100123_UA78YU,TRUE,,,
100123_UN59CH,TRUE,,,
100123_ZA53YU,TRUE,,,
100126_EM96PU,TRUE,,,
100126_FV85TH,TRUE,,,
100126_JG48MU,TRUE,,,
100126_JS64PH,TRUE,,,
100126_TX57EU,TRUE,,,
100126_UK49RK,TRUE,,,
100126_UW42UU,TRUE,,,
100126_ZW38YU,TRUE,,,
100128_CU69NU,TRUE,,,
100128_RX68QB,TRUE,,,
100128_SA44BK,TRUE,,,
100128_ZD57EU,TRUE,,,
100129_AK78DB,TRUE,,,
100131_BT37YU,TRUE,,,
100131_FU83XU,TRUE,,,
100131_NJ54ZU,TRUE,,,
100202_BV66CK,TRUE,,,
100202_FX25SU,TRUE,,,
100202_TN82KH,TRUE,,,
100202_UB75WH,TRUE,,,
100202_XP59TU,TRUE,,,
100203_HS56EB,TRUE,,,
100204_BB37SH,TRUE,,,
100204_QM84SK,TRUE,,,
100204_UR25GU,TRUE,,,
100204_XF66YK,TRUE,,,
100205_SV75HK,TRUE,,,
100207_CC97YH,TRUE,,,
100207_CE46GU,TRUE,,,
100207_JQ79NU,TRUE,,,
100207_XG88WU,TRUE,,,
100208_KY77VH,TRUE,,,
100208_WG54PB,TRUE,,,
100209_HK82WU,TRUE,,,
100209_JK56SH,TRUE,,,
100209_NJ42GH,TRUE,,,
100209_VQ23SU,TRUE,,,
100209_YH66BU,TRUE,,,
100211_DS38EB,TRUE,,,
100211_NX44RH,TRUE,,,
100211_RR54YK,TRUE,,,
100211_SK82RU,TRUE,,,
100211_SR35DU,TRUE,,,
100212_NP54HU,TRUE,,,
100212_RX77NU,TRUE,,,
100214_TK68KK,TRUE,,,
100216_GJ93AU,TRUE,,,
100216_MX48RH,TRUE,,,
100216_PR86HK,TRUE,,,
100216_RU68JH,TRUE,,,
100216_VG93GU,TRUE,,,
100218_BX27MU,TRUE,,,
100218_DJ36HU,TRUE,,,
100218_UF82CH,TRUE,,,
100218_US49SH,TRUE,,,
100221_GN83DU,TRUE,,,
100221_JQ45TH,TRUE,,,
100221_TV23WU,TRUE,,,
100221_VP45TH,TRUE,,,
100222_MN93BU,TRUE,,,
100222_MV62RH,TRUE,,,
100223_PX92CB,TRUE,,,
100223_XU63BU,TRUE,,,
100224_HW72RB,TRUE,,,
100225_CE78HK,TRUE,,,
100225_JJ56CH,TRUE,,,
100225_MN33HH,TRUE,,,
100225_MU52DH,TRUE,,,
100225_RR47HU,TRUE,,,
100227_ET98BH,TRUE,,,
100227_RF77HU,TRUE,,,
100227_XH96AH,TRUE,,,
100228_DP58XH,TRUE,,,
100228_HS33SU,TRUE,,,
100228_MC44UU,TRUE,,,
100228_UT39KH,TRUE,,,
100228_XM55PU,TRUE,,,
100301_FB48CB,TRUE,,,
100301_QY87JB,TRUE,,,
100301_US94YH,TRUE,,,
100302_DH83QH,TRUE,,,
100302_DN34RU,TRUE,,,
100302_NR42NU,TRUE,,,
100303_GF86EH,TRUE,,,
100303_NR22ZU,TRUE,,,
100304_DT47HB,TRUE,,,
100304_KS26SU,TRUE,,,
100304_RY98ZH,TRUE,,,
100304_SV85SK,TRUE,,,
100304_TJ85TH,TRUE,,,
100304_YH72DH,TRUE,,,
100306_NV44TH,TRUE,,,
100306_QD95CU,TRUE,,,
100306_SD47MU,TRUE,,,
100307_EX55YH,TRUE,,,
100307_HB26XH,TRUE,,,
100307_QY57UH,TRUE,,,
100308_CQ45RU,TRUE,,,
100308_SP82AU,TRUE,,,
100309_BS98XB,TRUE,,,
100309_DB78DU,TRUE,,,
100309_QU45UU,TRUE,,,
100309_VG43GH,TRUE,,,
100309_WG65DH,TRUE,,,
100310_TQ37WK,TRUE,,,
100311_KH52KH,TRUE,,,
100311_QC99DH,TRUE,,,
100311_RD78TU,TRUE,,,
100311_TF73ZU,TRUE,,,
100311_UH38BB,TRUE,,,
100311_WZ43NH,TRUE,,,
100311_YB44EU,TRUE,,,
100312_FU25KK,TRUE,,,
100315_QC56XU,TRUE,,,
100316_CF93RH,TRUE,,,
100316_CT48XU,TRUE,,,
100316_GJ36BB,TRUE,,,
100316_TA23TH,TRUE,,,
100316_VP93HH,TRUE,,,
100318_CF33EB,TRUE,,,
100318_CG74SU,TRUE,,,
100318_DD87BH,TRUE,,,
100319_TY44TB,TRUE,,,
100320_JP23TU,TRUE,,,
100321_JH64ZH,TRUE,,,
100321_ME77GU,TRUE,,,
100321_NB99FH,TRUE,,,
100321_PE88QU,TRUE,,,
100321_SA66VU,TRUE,,,
100321_SE36TH,TRUE,,,
100322_FE58BU,TRUE,,,
100323_EP55WH,TRUE,,,
100323_GU25GU,TRUE,,,
100323_YU23RK,TRUE,,,
100324_SS59BK,TRUE,,,
100325_MV54RU,TRUE,,,
100325_SW27YH,TRUE,,,
100325_UY53CK,TRUE,,,
100325_YF94QB,TRUE,,,
100326_FN55JB,TRUE,,,
100328_CP49HH,TRUE,,,
100328_PS56PH,TRUE,,,
100329_NW33DK,TRUE,,,
100329_XY36VH,TRUE,,,
100330_JC86VH,TRUE,,,
100330_SH66QB,TRUE,,,
100330_WS38QU,TRUE,,,
100330_YN22NH,TRUE,,,
100331_GH73HK,TRUE,,,
100331_RJ66CH,TRUE,,,
100401_HW84YH,TRUE,,,
100401_JM58UU,TRUE,,,
100401_MK97HB,TRUE,,,
100401_PF54YH,TRUE,,,
100401_UF85UB,TRUE,,,
100401_VD74FK,TRUE,,,
100407_BE26UB,TRUE,,,
